100	B
101	B
102	B
103	B
104	B
105	B
106	B
107	B
108	B
109	B
110	B
120	B
121	B
130	B
140	B
141	B
142	B
143	B
144	B
145	B
146	B
147	B
148	B
150	B
151	B
152	B
153	B
160	B
162	B
171	B
172	B
173	B
201	B
202	B
240	B
241	B
242	B
260	B
261	B
262	B
270	B
271	B
272	B
273	B
301	B
302	B
303	B
320	B
333	B
340	B
341	B
342	B
343	B
350	B
360	B
362	B
370	B
400	B
401	B
402	B
405	B
406	B
420	B
421	B
440	B
441	B
452	B
461	B
463	B
470	B
472	B
500	B
501	B
502	B
503	B
504	B
505	B
506	B
507	B
540	B
541	B
542	B
571	B
600	B
601	B
602	B
603	B
604	B
605	B
606	B
640	B
641	B
643	B
650	B
651	B
652	B
653	B
654	B
661	B
662	B
670	B
672	B
673	B
674	B
700	B
701	B
702	B
704	B
705	B
707	B
708	B
710	B
720	B
721	B
740	B
741	B
750	B
751	B
752	B
753	B
761	B
771	B
773	B
774 B
0017	G
1014	G
1017	G
1020	G
1111	G
1113	G
1114	G
1115	G
1116	G
1119	G
1120	G
1122	G
1124	G
1126	G
1127	G
1128	G
1129	G
1130	G
1131	G
1132	G
1133	G
1135	G
1136	G
1137	G
1138	G
1139	G
1140	G
1141	G
1142	G
1143	G
1144	G
1154	G
1155	G
1156	G
1162	G
1164	G
1165	G
1167	G
1213	G
1218	G
1221	G
1222	G
1224	G
1226	G
1227	G
1711	G
2012	G
2013	G
2014	G
2015	G
2016	G
2112	G
2113	G
2114	G
2115	G
2211	G
2221	G
2222	G
2224	G
2227	G
2230	G
2233	G
2234	G
2235	G
2311	G
2312	G
2412	G
2413	G
2415	G
8221	G
3011	G
3012	G
3212	G
3214	G
3216	G
3217	G
3220	G
3313	G
3314	G
3315	G
3316	G
3317	G
3318	G
3319	G
3321	G
3322	G
3411	G
3412	G
3413	G
3414	G
3416	G
3417	G
3422	G
3425	G
3426	G
8331	G
4211	G
4212	G
4318	G
4319	G
4412	G
4419	G
4432	G
4433	G
4435	G
8441	G
5012	G
5413	G
5511	G
5513	G
5515	G
5516	G
5517	G
5519	G
5522	G
5523	G
5524	G
5525	G
5528	G
5530	G
5531	G
5534	G
5535	G
5536	G
5537	G
5615	G
5616	G
5617	G
5618	G
5619	G
5620	G
5621	G
5623	G
5624	G
5625	G
5626	G
5627	G
5630	G
5633	G
5712	G
5713	G
5714	G
8541	G
8551	G
8552	G
6211	G
6411	G
6511	G
6512	G
6513	G
6514	G
6515	G
6516	G
6611	G
6613	G
6614	G
6615	G
6616	G
6617	G
6620	G
6623	G
6624	G
6625	G
6627	G
6628	G
6629	G
6630	G
6631	G
6632	G
6635	G
6637	G
6638	G
6640	G
6642	G
6645	G
6647	G
6648	G
6649	G
6654	G
6657	G
6712	G
6714	G
6715	G
6716	G
7011	G
7013	G
7016	G
7017	G
7018	G
7019	G
7021	G
7022	G
7024	G
7025	G
7211	G
7212	G
7611	G
7612	G
7613	G
7711	G
7713	G
7715	G
7719	G
7720	G
7722	G
7723	G
7726	G
7727	G
7728	G
7730	G
7734	G
7737	G
7738	G
7739	G
8761	G
8771	G
8772	G
8774	G
8777    G
9401	R
9403	R
9404	R
9408	R
9701	R
9703	R
9707	R
9709	R
9711A	R
9714    R
N13	N
N15	N
N16	N
N26	N
N30	N
N37	N
N61	N
N62	N
N65 N
